compound_id	compound_name	evidence_source	evidence_note
cpd00195	1-Alcohol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00196	Acetylphosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00197	Protocatechuate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00198	D-Xylulose5-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00199	Succinyl semialdehyde	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00200	4MOP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00201	10-Formyltetrahydrofolate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00202	DMAPP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00203	1,3-Bisphospho-D-glycerate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00204	Carbon monoxide	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00205	K+	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00206	dCMP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00207	Guanine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00208	Lactose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00209	Nitrate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00210	Taurine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00211	Butyrate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00212	L-Sorbose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00213	Lipoamide	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00214	Palmitate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00215	Pyridoxal	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00216	Chorismate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00217	Brachiose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00218	Niacin	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00219	Prephenate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00220	Riboflavin	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00221	D-Lactate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00222	D-Gluconate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00223	Glycerate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00224	L-Arabinose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00225	Benzaldehyde	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00226	Hypoxanthine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00227	L-Homoserine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00228	Dithiothreitol	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00229	Glycolaldehyde	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00231	Dihydrobiopterin	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00232	Neu5Ac	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00233	Tetrahydrobiopterin	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00234	5-Dehydro-D-fructose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00235	D-mannose-6-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00236	D-Erythrose4-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00237	Androstenedione	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00238	Sedoheptulose7-phosphate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00239	H2S	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00240	Ethylenediaminetetraacetic acid	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00241	dGTP	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00242	H2CO3	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00243	Fibrin	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00244	Nickel	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00245	Aniline	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00246	Inosine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00247	Orotate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00248	Quinate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00249	Uridine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00250	Creatine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00251	ADPribose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00253	Glutamine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00254	Mg	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00255	Bradykinin	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00256	CDPcholine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00257	Canavanine	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00258	D-Ribulose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00259	D-Lyxulose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00260	Isocitrate	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
cpd00261	L-Lyxulose	dat/seed_metabolites_edited.tsv	present in gapseq seed_metabolites_edited snapshot import
